Ref,Val,Package,PosX,PosY,Rot,Side
"TP1","R232","TestPoint-0.75mm",16.000000,13.174000,180.000000,bottom
"TP2","CTS","TestPoint-0.75mm",16.000000,5.554000,180.000000,bottom
"TP3","DSR","TestPoint-0.75mm",16.000000,6.824000,180.000000,bottom
"TP4","RI","TestPoint-0.75mm",16.000000,8.094000,180.000000,bottom
"TP5","DCD","TestPoint-0.75mm",16.000000,9.364000,180.000000,bottom
"TP6","DTR","TestPoint-0.75mm",16.000000,10.634000,180.000000,bottom
"TP7","RTS","TestPoint-0.75mm",16.000000,11.904000,180.000000,bottom
"TP8","CTS","TestPoint-0.75mm",8.599264,17.699264,0.000000,bottom
"TP9","CTS","TestPoint-0.75mm",6.999264,17.702208,0.000000,bottom
"TP10","CTS","TestPoint-0.75mm",37.249264,18.653680,0.000000,bottom
"TP11","CTS","TestPoint-0.75mm",35.649264,18.655152,0.000000,bottom
"C1","0.1uF","C_0402_1005Metric",8.705000,13.675000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",12.675000,16.005000,180.000000,top
"C3","4.7uF","C_0402_1005Metric",16.775000,2.075000,90.000000,top
"C4","470pF","C_0402_1005Metric",22.475000,1.655000,0.000000,top
"C5","2.2uF","CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",19.335000,5.725000,180.000000,top
"C6","4.7uF","C_0402_1005Metric",22.245000,3.675000,-90.000000,top
"D1","RB751V40","D_SOD-323_HandSoldering",27.925000,12.730000,-90.000000,top
"D2","VBUS_LED","LED_0603_1608Metric",7.805000,17.705000,0.000000,top
"D3","SP0503BAHT","SOT-143",9.175000,2.705000,90.000000,top
"D4","RB751V40","D_SOD-323_HandSoldering",27.875000,8.530000,-90.000000,top
"D5","ESP_PWR","LED_0603_1608Metric",36.455000,18.665000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4110",2.875000,10.000000,-90.000000,top
"J2","ESP_CONN","PinHeader_1x06_P2.54mm_Vertical",42.255000,16.350000,0.000000,top
"J4","ESP_PROG","PinHeader_2x03_P1.27mm_Vertical",30.725000,2.635000,180.000000,top
"Q1","BC817","SOT-23",24.875000,12.924000,0.000000,top
"Q2","BC817","SOT-23",24.875000,8.293000,0.000000,top
"Q3","Si2302CDS","SOT-23",19.670000,14.060000,0.000000,top
"R1","220R","R_0402_1005Metric",5.135000,17.655000,0.000000,top
"R2","5.1K","R_0402_1005Metric",8.285000,15.585000,90.000000,top
"R3","5.1K","R_0402_1005Metric",6.725000,2.015000,-90.000000,top
"R4","10K","R_0402_1005Metric",22.245000,13.355000,-90.000000,top
"R5","220R","R_0402_1005Metric",16.305000,3.985000,180.000000,top
"R6","DNP","R_0402_1005Metric",8.705000,12.435000,180.000000,top
"R7","10K","R_0402_1005Metric",22.245000,8.705000,90.000000,top
"R8","5.1K","R_0402_1005Metric",12.675000,17.705000,0.000000,top
"R9","220R","R_0402_1005Metric",33.405000,18.725000,0.000000,top
"SW1","ESP_RST","CK_SW_SPST_UK-B0273-SP25Y",35.960000,14.040000,0.000000,top
"SW2","ESP_BOOT","CK_SW_SPST_UK-B0273-SP25Y",35.960000,2.070000,0.000000,top
"SW3","ESP_VDD_SW","SW_SPDT_PCM12",26.345000,17.925000,180.000000,top
"SW4","POW_CTRL","CK_SW_SPST_UK-B0273-SP25Y",17.090000,18.150000,180.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",13.525000,9.999000,0.000000,top
"U2","MIC5219-3.3YM5","SOT-23-5",19.485000,2.894000,0.000000,top
"Y1","12MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",13.030000,3.040000,180.000000,top
