Ref,Val,Package,PosX,PosY,Rot,Side
"TP1","R232","TestPoint-0.75mm",16.000000,13.174000,180.000000,bottom
"TP2","CTS","TestPoint-0.75mm",16.000000,5.554000,180.000000,bottom
"TP3","DSR","TestPoint-0.75mm",16.000000,6.824000,180.000000,bottom
"TP4","RI","TestPoint-0.75mm",16.000000,8.094000,180.000000,bottom
"TP5","DCD","TestPoint-0.75mm",16.000000,9.364000,180.000000,bottom
"TP6","DTR","TestPoint-0.75mm",16.000000,10.634000,180.000000,bottom
"TP7","RTS","TestPoint-0.75mm",16.000000,11.904000,180.000000,bottom
"TP8","CTS","TestPoint-0.75mm",8.599264,17.699264,0.000000,bottom
"TP9","CTS","TestPoint-0.75mm",6.999264,17.702208,0.000000,bottom
"TP10","CTS","TestPoint-0.75mm",37.249264,18.653680,0.000000,bottom
"TP11","CTS","TestPoint-0.75mm",35.649264,18.655152,0.000000,bottom
