Ref,Val,Package,PosX,PosY,Rot,Side
"TP1","VBUS","TestPoint-0.75mm",8.599264,17.699264,0.000000,bottom
"TP2","VBUS_LED_1","TestPoint-0.75mm",6.999264,17.702208,0.000000,bottom
"TP3","R232","TestPoint-0.75mm",15.700000,12.574000,180.000000,bottom
"TP4","CTS","TestPoint-0.75mm",15.700000,4.954000,180.000000,bottom
"TP5","DSR","TestPoint-0.75mm",15.700000,6.224000,180.000000,bottom
"TP6","RI","TestPoint-0.75mm",15.700000,7.494000,180.000000,bottom
"TP7","DCD","TestPoint-0.75mm",15.700000,8.764000,180.000000,bottom
"TP8","DTR","TestPoint-0.75mm",15.700000,10.034000,180.000000,bottom
"TP9","RTS","TestPoint-0.75mm",15.700000,11.304000,180.000000,bottom
"TP10","ESP_VDD_O","TestPoint-0.75mm",33.959264,12.662208,0.000000,bottom
"TP11","ESP_PWR_1","TestPoint-0.75mm",32.359264,12.662208,0.000000,bottom
"C1","0.1uF","C_0402_1005Metric",8.715000,13.174000,180.000000,top
"C2","0.1uF","C_0402_1005Metric",12.075000,15.305000,180.000000,top
"C3","4.7uF","C_0402_1005Metric",16.365000,2.004000,90.000000,top
"C4","470pF","C_0402_1005Metric",22.135000,1.544000,0.000000,top
"C5","2.2uF","CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",19.210000,5.125000,180.000000,top
"C6","4.7uF","C_0402_1005Metric",21.685000,2.984000,-90.000000,top
"D1","VBUS_LED","LED_0603_1608Metric",7.805000,17.705000,0.000000,top
"D2","SP0503BAHT","SOT-143",9.475000,2.305000,90.000000,top
"D3","ESP_PWR","LED_0603_1608Metric",33.074000,12.659000,0.000000,top
"D4","RX_LED","LED_0603_1608Metric",19.015000,9.805000,0.000000,top
"D5","TX_LED","LED_0603_1608Metric",19.015000,8.015000,0.000000,top
"FD1","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",36.200000,14.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4110",2.875000,10.000000,-90.000000,top
"J4","ESP_CONN","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",40.897000,10.000000,90.000000,top
"J5","ESP_PROG","PinHeader_2x03_P1.27mm_Vertical",25.859000,10.448000,180.000000,top
"Q1","MMBT3904T-7-F","SOT-523",19.465000,15.204000,0.000000,top
"Q2","MMBT3904T-7-F","SOT-523",19.465000,12.893000,0.000000,top
"Q3","MMBT3906T-7-F","SOT-523",21.685000,9.525000,0.000000,top
"Q4","MMBT3906T-7-F","SOT-523",21.685000,7.275000,0.000000,top
"R1","220R","R_0402_1005Metric",5.135000,17.655000,0.000000,top
"R2","5.1K","R_0402_1005Metric",8.475000,15.585000,90.000000,top
"R3","10K","R_0402_1005Metric",20.745000,18.085000,90.000000,top
"R4","10K","R_0402_1005Metric",26.385000,18.085000,90.000000,top
"R5","5.1K","R_0402_1005Metric",6.725000,2.004000,-90.000000,top
"R6","1K","R_0402_1005Metric",22.214999,12.545000,90.000000,top
"R7","10K","R_0402_1005Metric",17.605000,14.174000,-90.000000,top
"R8","1K","R_0402_1005Metric",23.710000,8.015000,180.000000,top
"R9","DNP","R_0402_1005Metric",8.735000,11.904000,180.000000,top
"R10","10K","R_0402_1005Metric",17.605000,11.575000,90.000000,top
"R11","10K","R_0402_1005Metric",28.405000,5.289001,90.000000,top
"R12","220R","R_0402_1005Metric",27.391575,5.254580,90.000000,top
"R14","220R","R_0402_1005Metric",29.879000,12.659000,0.000000,top
"R15","1K","R_0402_1005Metric",21.755000,11.115000,0.000000,top
"R16","1K","R_0402_1005Metric",23.754999,6.745000,0.000000,top
"R17","220R","R_0402_1005Metric",19.465000,11.115000,0.000000,top
"R18","220R","R_0402_1005Metric",19.465000,6.745000,0.000000,top
"SW1","ESP_RST","CK_SW_SPST_UK-B0273-SP25Y",40.024000,18.040000,180.000000,top
"SW2","ESP_BOOT","CK_SW_SPST_UK-B0273-SP25Y",40.024000,1.960000,180.000000,top
"SW3","ESP_VDD_SW","SW_SPDT_PCM12",31.699000,17.875000,180.000000,top
"SW4","ESPV_SEL","SW_SPDT_PCM12",31.699000,2.111792,0.000000,top
"SW5","POW_CTRL","CK_SW_SPST_UK-B0273-SP25Y",15.390000,18.150000,180.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",13.225000,9.399000,0.000000,top
"U2","MIC5219-3.3YM5","SOT-23-5",19.185000,2.494000,0.000000,top
"U3","AP22804AW5","SOT-23-5",24.535000,4.319000,0.000000,top
"Y1","12MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",13.030000,2.640000,180.000000,top
