Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_0805_2012Metric",11.225000,15.695000,0.000000,top
"C2","0.1uF","C_0402_1005Metric",8.715000,13.174000,180.000000,top
"C3","0.1uF","C_0402_1005Metric",10.475000,17.305000,180.000000,top
"C4","4.7uF","C_0402_1005Metric",16.365000,2.004000,90.000000,top
"C5","470pF","C_0402_1005Metric",22.135000,1.544000,0.000000,top
"C6","2.2uF","CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder",19.210000,5.125000,180.000000,top
"C7","4.7uF","C_0402_1005Metric",21.685000,2.984000,-90.000000,top
"C8","47uF","C_0805_2012Metric",36.025000,5.585000,0.000000,top
"D1","VBUS_LED","LED_0603_1608Metric",7.805000,17.705000,0.000000,top
"D2","BAS70K","D_SOD-523",22.160000,12.930000,0.000000,top
"D3","SP0503BAHT","SOT-143",9.475000,2.305000,90.000000,top
"D4","ESP_PWR","LED_0603_1608Metric",33.074000,12.659000,0.000000,top
"D5","RX_LED","LED_0603_1608Metric",19.015000,10.205000,0.000000,top
"D6","TX_LED","LED_0603_1608Metric",19.015000,8.415000,0.000000,top
"FD1","Fiducial_0.75mm_Mask1.5mm","Fiducial_0.75mm_Mask1.5mm",36.200000,14.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4110",2.875000,10.000000,-90.000000,top
"J3","ESP_CONN","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",40.897000,10.000000,90.000000,top
"J5","ESP_PROG","PinHeader_2x03_P1.27mm_Vertical",25.859000,10.448000,180.000000,top
"JP3","TRX-PUV","Solder-Jumper_1x3_0402_Open",21.719998,7.840000,-90.000000,top
"JP9","ACT-LED-V","Solder-Jumper_1x3_0402_Open",19.760000,6.680000,0.000000,top
"Q1","MMBT3904T-7-F","SOT-523",19.465000,15.204000,0.000000,top
"Q2","2SK3019-TP","SOT-523",23.640000,8.260000,180.000000,top
"Q3","MMBT3904T-7-F","SOT-523",19.465000,12.893000,0.000000,top
"R1","220R","R_0402_1005Metric",5.135000,17.655000,0.000000,top
"R2","5.1K","R_0402_1005Metric",8.475000,15.585000,90.000000,top
"R3","10K","R_0402_1005Metric",36.025000,7.400000,180.000000,top
"R4","10K","R_0402_1005Metric",20.745000,18.085000,90.000000,top
"R5","10K","R_0402_1005Metric",26.385000,18.085000,90.000000,top
"R6","5.1K","R_0402_1005Metric",6.725000,2.004000,-90.000000,top
"R7","10K","R_0402_1005Metric",17.605000,14.174000,-90.000000,top
"R8","10K","R_0402_1005Metric",17.605000,11.975000,90.000000,top
"R9","10K","R_0402_1005Metric",28.405000,5.289001,90.000000,top
"R10","220R","R_0402_1005Metric",27.391575,5.254580,90.000000,top
"R12","220R","R_0402_1005Metric",29.879000,12.659000,0.000000,top
"R13","1K","R_0402_1005Metric",21.755000,11.115000,0.000000,top
"R14","1K","R_0402_1005Metric",23.754999,6.745000,0.000000,top
"SW1","ESP_RST","CK_SW_SPST_UK-B0273-SP25Y",40.024000,18.040000,180.000000,top
"SW2","ESP_BOOT","CK_SW_SPST_UK-B0273-SP25Y",40.024000,1.960000,180.000000,top
"SW3","ESP_VDD_SW","SW_SPDT_PCM12",31.699000,17.875000,180.000000,top
"SW4","ESPV_SEL","SW_SPDT_PCM12",31.699000,2.111792,0.000000,top
"SW5","POW_CTRL","CK_SW_SPST_UK-B0273-SP25Y",15.390000,18.150000,180.000000,top
"U1","CH340G","SOIC-16_3.9x9.9mm_P1.27mm",13.225000,9.399000,0.000000,top
"U2","MIC5219-3.3YM5","SOT-23-5",19.185000,2.494000,0.000000,top
"U3","AP22804AW5","SOT-23-5",24.535000,4.319000,0.000000,top
"Y1","12MHz","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",13.030000,2.640000,180.000000,top
